2026-01-07T23:58:08.218961 | USER 1 | LOGIN SUCCESS
2026-01-07T23:59:16.475959800 | USER 101 | LOGIN SUCCESS
2026-01-08T00:00:24.499019500 | USER 201 | LOGIN SUCCESS
2026-01-08T00:08:46.304772100 | USER 101 | LOGIN SUCCESS
2026-01-08T00:09:42.748272400 | USER 2 | PATIENT CREATED
2026-01-08T00:10:23.445154200 | USER 2 | LOGIN SUCCESS
2026-01-08T00:13:47.185487700 | USER 2 | LOGIN SUCCESS
2026-01-08T00:14:08.083596200 | USER 101 | LOGIN SUCCESS
2026-01-08T00:18:53.095750800 | USER 2 | LOGIN SUCCESS
2026-01-08T00:19:06.063710300 | USER 101 | LOGIN SUCCESS
2026-01-08T00:19:40.185694100 | USER 2 | APPOINTMENT CREATED
2026-01-08T00:20:02.589488100 | USER 101 | PRESCRIPTION ISSUED
2026-01-08T00:20:20.359465300 | USER 2 | LOGIN SUCCESS
2026-01-08T00:27:35.935171300 | USER 101 | LOGIN SUCCESS
2026-01-08T00:28:22.422028900 | USER 2 | LOGIN SUCCESS
